Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure Temperature,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2024,47,34,40.5,-1.4,24,0,0,0,0
1/2/2024,47,38,42.5,0.5,22,0,0.24,0,0
1/3/2024,50,41,45.5,3.5,19,0,0.1,0,0
1/4/2024,46,41,43.5,1.4,21,0,0.14,0,0
1/5/2024,47,40,43.5,1.3,21,0,0.23,0,0
1/6/2024,44,36,40,-2.3,25,0,0.42,0,0
1/7/2024,41,36,38.5,-3.8,26,0,0.11,0,0
1/8/2024,49,37,43,0.6,22,0,0.74,0,0
1/9/2024,48,37,42.5,0,22,0,0.27,0,0
1/10/2024,41,35,38,-4.6,27,0,0.03,0,0
1/11/2024,45,25,35,-7.6,30,0,T,T,0
1/12/2024,25,15,20,-22.7,45,0,T,T,0
1/13/2024,22,15,18.5,-24.3,46,0,0,0,0
1/14/2024,31,19,25,-17.8,40,0,0,0,0
1/15/2024,38,21,29.5,-13.4,35,0,0,0,0
1/16/2024,36,22,29,-14,36,0,0.07,0,0
1/17/2024,40,30,35,-8,30,0,0.28,0,0
1/18/2024,39,34,36.5,-6.6,28,0,0.38,0,0
1/19/2024,47,37,42,-1.1,23,0,0.02,0,0
1/20/2024,51,35,43,-0.2,22,0,0.26,0,0
1/21/2024,48,42,45,1.8,20,0,0.46,0,0
1/22/2024,51,44,47.5,4.3,17,0,0.43,0,0
1/23/2024,52,43,47.5,4.2,17,0,0.01,0,0
1/24/2024,51,43,47,3.7,18,0,0.4,0,0
1/25/2024,51,42,46.5,3.2,18,0,0.17,0,0
1/26/2024,53,44,48.5,5.1,16,0,0.38,0,0
1/27/2024,57,48,52.5,9.1,12,0,0.72,0,0
1/28/2024,61,51,56,12.6,9,0,0.52,0,0
1/29/2024,61,51,56,12.6,9,0,T,0,0
1/30/2024,61,51,56,12.6,9,0,0.02,0,0
1/31/2024,60,50,55,11.5,10,0,0.12,0,0
2/1/2024,58,47,52.5,9,12,0,0.09,0,0
2/2/2024,54,43,48.5,5,16,0,T,0,0
2/3/2024,51,37,44,0.5,21,0,0,0,0
2/4/2024,50,39,44.5,1,20,0,0,0,0
2/5/2024,45,41,43,-0.5,22,0,0.14,0,0
2/6/2024,46,41,43.5,-0.1,21,0,0.2,0,0
2/7/2024,48,39,43.5,-0.1,21,0,0,0,0
2/8/2024,47,40,43.5,-0.1,21,0,0.13,0,0
2/9/2024,49,37,43,-0.6,22,0,0.01,0,0
